,layer,index,average,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,
,conv2d_1:ratio_num,1,0.9411682379010731,0.8653655166457964,0.759889192161975,1.1103023789751356,0.9230769230769231,1.041973908111174,0.8562282473252266,1.2681927963876929,1.0452608654483477,0.6806068858198794,0.8607856650585803,
,conv2d_1:ratio_sum,1,-1.0437177710528434,-0.9223692397151636,-0.7970377413652033,-1.2589349155191587,-1.0097790987014585,-1.2921948321011099,-0.8743793829847268,-1.422052573962345,-1.200659823523703,-0.7425662420017988,-0.9172038606537674,
,conv2d_2:ratio_num,2,1.0028991728729053,1.0095049927911572,0.98188329471245,0.9618392242727557,0.9821964708980774,0.9763667874586419,1.0448839863065804,1.0138063894686145,1.0703086317874237,0.9675833943323225,1.0206185567010309,
,conv2d_2:ratio_sum,2,-1.0015827398528718,-1.01305735930307,-1.060976853457021,-0.8175680704878409,-1.0500649892508696,-1.0046595532552738,-1.0883906844830114,-0.987452086848341,-0.9386438187433132,-1.0416034046862837,-1.0134105780136937,
,conv2d_3:ratio_num,3,0.9929895737102703,1.016781652060414,1.0182242264033587,0.937656753851666,0.9527578009809526,0.9727026780557497,0.9750441292835839,0.9858017135862913,0.9700676967912328,1.0589485707033852,1.0419105153860675,
,conv2d_3:ratio_sum,3,-0.9669476451463593,-1.022841707991507,-0.9987825195559955,-0.8476830906069485,-0.9130615074129489,-0.9429804356943994,-0.9490920373083248,-0.9939825166852588,-0.9305473949177326,-1.014502874266943,-1.0560023670235346,
,conv2d_4:ratio_num,4,1.0249168956255372,0.9714774671990872,0.9428691894170971,1.0756756756756756,1.0660588850694963,1.1313598519888992,0.9955250811981234,1.106032906764168,1.0689190706027611,0.9004674182018146,0.9907834101382489,
,conv2d_4:ratio_sum,4,-1.0313905357421558,-0.9543145129595347,-0.9307279387669001,-1.159178576066731,-1.053339299097584,-1.1565300059499832,-0.9838949426097732,-1.1542756057628623,-1.0926078200436593,-0.8527997631896241,-0.9762368929749072,
,conv2d_5:ratio_num,5,1.0071685975979094,1.0076045627376427,0.992623724161592,0.9785385794583547,1.0715113687026303,1.0144808150877953,1.0000860918600147,1.0178051852173535,0.9997417688831505,0.9895521109874111,0.9997417688831505,
,conv2d_5:ratio_sum,5,-1.0055966325482373,-1.010094287286667,-1.0011243925037074,-0.9695787129078426,-1.0624559800898177,-1.0125723888869378,-1.0227682776975886,-1.0106223469805142,-1.0059458577542664,-0.9701445382292354,-0.9906595431457955,
,conv2d_6:ratio_num,6,0.9793237629710747,0.949238578680203,1.0008336807002918,1.0126841029404057,0.8583042973286876,0.9921145465864287,0.9853169268948403,0.980095910895684,0.9875776397515528,1.0174424713670274,1.009629474565627,
,conv2d_6:ratio_sum,6,-0.9853869954955321,-0.9721895278724317,-1.0025129553126064,-1.0002353180583576,-0.9119796529349118,-0.9739962119758874,-0.9858444275557502,-0.9854521823488943,-0.9905025030491472,-1.0277889618592513,-1.0033682139880824,
,conv2d_7:ratio_num,7,0.9795832002312856,0.9825750242013552,0.9443037974683545,0.9961013645224172,0.9320754716981132,0.9851373182552504,0.9854580707707222,0.9761981344483757,0.9857789269553976,1.0111292962356793,0.9970745977571916,
,conv2d_7:ratio_sum,7,-0.9896467852460601,-0.9728376408439436,-0.9665223845653753,-1.0395919851424384,-0.9317056702434636,-0.9902615008880791,-0.971408352956073,-0.9948407710684105,-0.9882504231673526,-1.0045536457199515,-1.0364954778655142,
,conv2d_8:ratio_num,8,0.9375450031856142,0.7878944645628556,0.974293059125964,0.9681093394077449,0.5164545853444493,1.0040591475790084,0.9953810623556582,1.1386138613861385,0.9205334815226451,1.0287643087760494,1.0413467217956291,
,conv2d_8:ratio_sum,8,-0.9657567731682841,-0.8164927227332909,-0.998199718885609,-0.960840099565354,-0.4739950972722901,-0.9843478249779815,-1.0234489638920077,-1.270739415487452,-0.9383195975021611,-1.0591342089957831,-1.1320500823709103,
,conv2d_9:ratio_num,9,1.1133769389976336,1.0869565217391304,1.0869565217391304,1.1333333333333333,1.0869565217391304,1.206896551724138,1.064516129032258,1.064516129032258,1.1573033707865168,1.1818181818181819,1.064516129032258,
,conv2d_9:ratio_sum,9,-1.114539106903503,-1.0617034858152572,-1.1301992521420958,-1.0847987175765306,-1.0091536605475784,-1.1591328955186595,-1.1163328862796844,-1.1496800827053315,-1.179392109165977,-1.0786126696942653,-1.1763853095896495,
,conv2d_10:ratio_num,10,1.5500000000000003,2.3333333333333335,1.5,1.0,1.5,1.5,1.0,1.0,1.0,2.3333333333333335,2.3333333333333335,
,conv2d_10:ratio_sum,10,-1.1366867701755639,-1.3320128152606612,-1.0215748356583687,-1.2488322304361794,-1.1541279313640773,-1.1299701745201585,-1.1325815422787824,-1.0307461023962872,-1.046217569181072,-1.130564402362241,-1.1402400982978094,
